PLAYER NAME,TEAM,POS,Speed (MPH),Wk,Play Type
Lamar Miller,HOU,RB,21.05,12,97 yd rush TD
Danny Johnson,WAS,DB,20.93,12,44 yd kickoff ret
Amari Cooper,DAL,WR,20.82,12,90 yd reception TD
Mike Evans,TB,WR,20.78,12,42 yd reception
Jonnu Smith,TEN,TE,20.72,12,61 yd reception TD
Josh Adams,PHI,RB,20.68,12,2 yd rush *
JuJu Smith-Schuster,PIT,WR,20.45,12,97 yd reception TD
Corey Davis,TEN,WR,20.39,12,39 yd rush
Melvin Gordon,LAC,RB,20.33,12,28 yd rush TD
Saquon Barkley,NYG,RB,20.19,12,51 yd rush TD
Seth Roberts,OAK,WR,20.15,12,11 yd rush
Christian McCaffrey,CAR,RB,20.07,12,38 yd reception
Lamar Jackson,BAL,QB,20.05,12,39 yd rush
Tyreek Hill,KC,WR,21.19,13,33 yd rush
Chris Godwin,TB,WR,20.93,13,48 yd reception
Christian McCaffrey,CAR,RB,20.9,13,53 yd rush
Adrian Peterson,WAS,RB,20.84,13,90 yd rush TD
Andre Roberts,NYJ,WR,20.84,13,59 yd kickoff ret
Marquez Valdes-Scantling,GB,WR,20.76,13,21 yd rush
Taywan Taylor,TEN,WR,20.62,13,55 yd reception
Jordan Howard,CHI,RB,20.58,13,25 yd rush
Josh Reynolds,LAR,WR,20.5,13,14 yd reception
Travis Benjamin,LAC,WR,20.5,13,46 yd reception TD
Christian Kirk,ARI,WR,20.48,13,23 yd rush
Phillip Lindsay,DEN,RB,20.37,13,65 yd rush TD
LeSean McCoy,BUF,RB,20.33,13,18 yd rush
Dalvin Cook,MIN,RB,20.31,13,5 yd rush
Dalvin Cook,MIN,RB,20.27,13,18 yd rush
Dante Pettis,SF,WR,20.27,13,75 yd reception TD
Phillip Lindsay,DEN,RB,20.23,13,11 yd rush
Rashaad Penny,SEA,RB,20.19,13,20 yd rush TD
Bobby Wagner,SEA,MLB,20.09,13,98 yd int TD
Isaiah McKenzie,BUF,WR,19.9,13,19 yd reception
Saquon Barkley,NYG,RB,21.91,14,78 yd rush TD
Derrick Henry,TEN,RB,21.74,14,54 yd rush TD
Robert Foster,BUF,WR,21.62,14,12 yd reception
Darius Slay,DET,CB,21.29,14,67 yd int TD
Amari Cooper,DAL,WR,21.27,14,75 yd reception TD
Brandon Bolden,MIA,RB,20.97,14,54 yd rush TD
Breshad Perriman,CLE,WR,20.76,14,66 yd reception
Andre Roberts,NYJ,WR,20.72,14,13 yd kickoff ret *
Isaiah McKenzie,BUF,WR,20.7,14,15 yd rush TD
Nelson Agholor,PHI,WR,20.45,14,42 yd reception
Jamison Crowder,WAS,WR,20.43,14,79 yd reception TD
George Kittle,SF,TE,20.39,14,85 yd reception TD
Derrick Henry,TEN,RB,20.29,14,99 yd rush TD
Stefon Diggs,MIN,WR,20.27,14,48 yd reception
Andre Roberts,NYJ,WR,20.25,14,86 yd kickoff ret
JuJu Smith-Schuster,PIT,WR,20.17,14,5 yd reception
Evan Engram,NYG,TE,20,14,39 yd reception
Ezekiel Elliott,DAL,RB,19.98,14,10 yd rush
Tarik Cohen,CHI,RB,19.98,14,32 yd rush
Breshad Perriman,CLE,WR,19.88,14,15 yd reception
Kalen Ballage,MIA,RB,21.87,15,75 yd rush TD
Minkah Fitzpatrick,MIA,S,21.85,15,50 yd int TD
Dede Westbrook,JAX,WR,21.8,15,74 yd punt ret TD
Alex Erickson,CIN,WR,21.52,15,77 yd kickoff ret
Tevin Coleman,ATL,RB,21.19,15,28 yd rush *
Damien Williams,KC,RB,20.93,15,32 yd reception
Aldrick Robinson,MIN,WR,20.8,15,40 yd reception TD
Joe Mixon,CIN,HB,20.78,15,15 yd rush TD
Nick Chubb,CLE,RB,20.45,15,40 yd rush
Tevin Coleman,ATL,RB,20.41,15,65 yd rush
Marcus Sherels,MIN,CB,20.39,15,70 yd punt ret
Darren Waller,OAK,TE,20.33,15,44 yd reception
Tevin Coleman,ATL,RB,20.29,15,43 yd rush TD
Marcus Mariota,TEN,QB,20.09,15,11 yd rush
Travis Benjamin,LAC,WR,20.03,15,8 yd rush
Jeff Driskel,CIN,QB,20.03,15,13 yd rush
DeAndre Carter,HOU,WR,19.94,15,50 yd reception
Jordy Nelson,OAK,WR,19.82,15,44 yd reception
Todd Gurley,LAR,RB,19.82,15,9 yd rush
Tim Patrick,DEN,WR,19.8,15,24 yd reception
Brian Hill,ATL,HB,21.35,16,60 yd rush
Julio Jones,ATL,WR,21.35,16,1 yd reception TD
Andre Roberts,NYJ,WR,21.31,16,99 yd kickoff ret TD
Cordarrelle Patterson,NE,WR,21.29,16,15 yd rush
Nelson Agholor,PHI,WR,20.78,16,83 yd reception TD
Calvin Ridley,ATL,WR,20.6,16,75 yd reception TD
Alvin Kamara,NO,RB,20.52,16,42 yd reception
JoJo Natson,LAR,WR,20.41,16,26 yd punt ret
Kenny Golladay,DET,WR,20.29,16,21 yd reception
Alshon Jeffery,PHI,WR,20.25,16,52 yd reception
Tyreek Hill,KC,WR,20.25,16,32 yd reception
Andre Roberts,NYJ,WR,20.21,16,51 yd kickoff ret
Mohamed Sanu,ATL,WR,20.21,16,44 yd reception TD
Brandin Cooks,LAR,WR,20.15,16,17 yd rush *
Cordarrelle Patterson,NE,WR,20.15,16,27 yd rush
Gus Edwards,BAL,RB,20.13,16,43 yd rush
Kalen Ballage,MIA,RB,20.09,16,31 yd reception
T.Y. Hilton,IND,WR,20.05,16,55 yd reception
Ezekiel Elliott,DAL,RB,20.05,16,12 yd rush
Breshad Perriman,CLE,WR,20,16,63 yd reception
Kyle Allen,CAR,QB,21.35,17,10 yd rush
Zay Jones,BUF,WR,20.97,17,18 yd reception TD
Chris Carson,SEA,RB,20.93,17,61 yd rush
Breshad Perriman,CLE,WR,20.9,17,5 yd rush
Daniel Sorensen,KC,SS,20.86,17,54 yd int TD
Saquon Barkley,NYG,RB,20.78,17,68 yd rush
Phillip Dorsett,NE,WR,20.64,17,11 yd rush
Tyreek Hill,KC,WR,20.54,17,67 yd reception TD
Gareon Conley,OAK,CB,20.37,17,0 yd int
Taylor Gabriel,CHI,WR,20.27,17,40 yd reception
Zay Jones,BUF,WR,20.19,17,26 yd reception TD
Derrick Henry,TEN,RB,20.17,17,33 yd rush
Curtis Samuel,CAR,WR,20.15,17,53 yd reception TD
Reshad Jones,MIA,SS,20.03,17,29 yd int TD
Breshad Perriman,CLE,WR,20.03,17,28 yd reception TD
Dalvin Cook,MIN,RB,20.03,17,5 yd rush
Allen Hurns,DAL,WR,19.98,17,49 yd reception
Tyreek Hill,KC,WR,19.98,17,5 yd reception
Corey Coleman,NYG,WR,19.9,17,38 yd kickoff ret
Joe Mixon,CIN,HB,19.9,17,21 yd rush
Ezekiel Elliott,DAL,RB,21.27,18,44 yd rush
Lamar Jackson,BAL,QB,19.9,18,17 yd rush
Ezekiel Elliott,DAL,RB,19.86,18,3 yd rush
Tyler Lockett,SEA,WR,19.72,18,40 yd reception
Tyler Lockett,SEA,WR,19.62,18,52 yd kickoff ret
Amari Cooper,DAL,WR,19.62,18,27 yd reception
Marlon Mack,IND,RB,19.58,18,25 yd rush
Tavon Austin,DAL,WR,19.55,18,4 yd punt ret *
Marlon Mack,IND,RB,19.29,18,5 yd rush
Tarik Cohen,CHI,RB,19.29,18,7 yd reception
Desmond King,LAC,CB,19.17,18,33 yd punt ret
Alshon Jeffery,PHI,WR,19.15,18,30 yd reception
Travis Benjamin,LAC,WR,19.06,18,4 yd reception
Andrew Luck,IND,QB,19.06,18,9 yd rush
Mike Williams,LAC,WR,19.04,18,28 yd reception
T.Y. Hilton,IND,WR,18.98,18,38 yd reception
Tyler Lockett,SEA,WR,18.98,18,53 yd reception
Keke Coutee,HOU,WR,18.96,18,5 yd reception
Lamar Jackson,BAL,QB,18.88,18,15 yd rush
Andrew Luck,IND,QB,18.86,18,3 yd rush
Amari Cooper,DAL,WR,20.45,19,29 yd reception TD
Tyreek Hill,KC,WR,20.17,19,0 yd punt ret *
Tommylee Lewis,NO,WR,20.17,19,0 yd punt ret *
Tyreek Hill,KC,WR,19.94,19,36 yd rush TD
Todd Gurley,LAR,RB,19.86,19,18 yd rush
Sony Michel,NE,RB,19.76,19,14 yd rush TD
Tyreek Hill,KC,WR,19.72,19,3 yd punt ret
Todd Gurley,LAR,RB,19.39,19,35 yd rush TD
Tyreek Hill,KC,WR,19.37,19,4 yd punt ret
Josh Reynolds,LAR,WR,19.37,19,9 yd rush
Tre'Quan Smith,NO,WR,19.37,19,5 yd rush
Tyreek Hill,KC,WR,19.31,19,7 yd reception
Sammy Watkins,KC,WR,19.23,19,-2 yd rush
Alvin Kamara,NO,RB,19.21,19,15 yd rush
Brandin Cooks,LAR,WR,19.13,19,5 yd rush
Josh Reynolds,LAR,WR,19.04,19,19 yd reception
Nelson Agholor,PHI,WR,18.94,19,12 yd rush
Michael Thomas,NO,WR,18.82,19,42 yd reception
T.Y. Hilton,IND,WR,18.74,19,29 yd reception TD
Alvin Kamara,NO,RB,18.72,19,23 yd reception
Damien Williams,KC,RB,20.11,20,23 yd reception TD
Josh Reynolds,LAR,WR,20.07,20,16 yd rush
Brandin Cooks,LAR,WR,19.8,20,36 yd reception
Robert Woods,LAR,WR,19.45,20,1 yd rush
Damien Williams,KC,RB,19.45,20,33 yd reception
Michael Thomas,NO,WR,19.31,20,19 yd reception
Cordarrelle Patterson,NE,WR,19.17,20,38 yd kickoff ret
Tyreek Hill,KC,WR,18.98,20,42 yd reception
Alvin Kamara,NO,RB,18.86,20,27 yd kickoff ret
Tremon Smith,KC,DB,18.86,20,26 yd kickoff ret
Ted Ginn,NO,WR,18.74,20,43 yd reception
Demarcus Robinson,KC,WR,18.59,20,27 yd reception
Alvin Kamara,NO,RB,18.57,20,21 yd reception
Damien Williams,KC,RB,18.45,20,1 yd reception TD
Alvin Kamara,NO,RB,18.39,20,28 yd kickoff ret
Alvin Kamara,NO,RB,18.04,20,30 yd kickoff ret
Tremon Smith,KC,DB,18.04,20,19 yd kickoff ret
Alvin Kamara,NO,RB,18,20,6 yd rush
Robert Woods,LAR,WR,17.96,20,0 yd reception
Cordarrelle Patterson,NE,WR,17.84,20,15 yd reception
Todd Gurley,LAR,RB,19.78,22,5 yd rush
Cordarrelle Patterson,NE,WR,19.51,22,38 yd kickoff ret
JoJo Natson,LAR,WR,18.39,22,13 yd punt ret *
Josh Reynolds,LAR,WR,18.08,22,11 yd reception
Brandin Cooks,LAR,WR,17.78,22,15 yd reception
Robert Woods,LAR,WR,17.73,22,5 yd rush
Rob Gronkowski,NE,TE,17.53,22,29 yd reception
Robert Woods,LAR,WR,17.49,22,18 yd reception
Rex Burkhead,NE,RB,17.33,22,26 yd rush
Robert Woods,LAR,WR,17.18,22,18 yd reception
Julian Edelman,NE,WR,16.71,22,9 yd reception
Sony Michel,NE,RB,16.49,22,26 yd rush
Brandin Cooks,LAR,WR,16.43,22,14 yd reception
Julian Edelman,NE,WR,16.22,22,27 yd reception
Todd Gurley,LAR,RB,16.06,22,16 yd rush
Brandin Cooks,LAR,WR,16,22,19 yd reception
Rex Burkhead,NE,RB,15.87,22,8 yd reception
Rob Gronkowski,NE,TE,15.87,22,18 yd reception
Brandin Cooks,LAR,WR,15.81,22,16 yd reception
Rob Gronkowski,NE,TE,15.79,22,19 yd reception
